dispatching_base_number,date,active_vehicles,trips
B02617,2015-01-29,1474,12600
B02764,2015-01-29,3959,31637
B02682,2015-01-29,1316,11485
B02765,2015-01-29,295,2086
B02512,2015-01-29,250,1687
B02598,2015-01-29,1082,9499
B02512,2015-01-30,256,2016
B02617,2015-01-30,1501,14793
B02682,2015-01-30,1384,13852
B02764,2015-01-30,4124,39110
B02765,2015-01-30,322,2785
B02598,2015-01-30,1106,11167
B02765,2015-01-31,309,3282
B02512,2015-01-31,225,1892
B02617,2015-01-31,1394,15756
B02682,2015-01-31,1321,15388
B02764,2015-01-31,3947,44297
B02598,2015-01-31,1027,11642
B02598,2015-01-02,961,9499
B02682,2015-01-02,1214,12436
B02512,2015-01-02,193,1377
B02765,2015-01-02,289,2672
B02617,2015-01-02,1355,13458
B02764,2015-01-02,3740,37468
B02617,2015-02-02,1217,12216
B02682,2015-02-02,1152,11981
B02765,2015-02-02,275,2607
B02598,2015-02-02,939,9511
B02764,2015-02-02,3270,30761
B02512,2015-02-02,227,1904
B02765,2015-03-02,299,2410
B02598,2015-03-02,991,9602
B02512,2015-03-02,257,1915
B02764,2015-03-02,3674,31641
B02617,2015-03-02,1350,12665
B02682,2015-03-02,1269,11955
B02764,2015-04-02,3856,29994
B02765,2015-04-02,309,2334
B02512,2015-04-02,244,1639
B02682,2015-04-02,1311,11309
B02617,2015-04-02,1393,11959
B02598,2015-04-02,1072,9600
B02617,2015-05-02,1524,14499
B02682,2015-05-02,1418,13782
B02598,2015-05-02,1179,11609
B02512,2015-05-02,264,2022
B02765,2015-05-02,355,3011
B02764,2015-05-02,4093,35990
B02617,2015-06-02,1526,15417
B02765,2015-06-02,385,3569
B02598,2015-06-02,1181,11897
B02512,2015-06-02,261,1989
B02764,2015-06-02,4170,38693
B02682,2015-06-02,1414,14375
B02598,2015-07-02,1031,10512
B02512,2015-07-02,211,1504
B02617,2015-07-02,1383,13688
B02682,2015-07-02,1300,13450
B02764,2015-07-02,3849,38530
B02765,2015-07-02,345,3473
B02764,2015-08-02,3422,29692
B02765,2015-08-02,313,2623
B02598,2015-08-02,923,8129
B02617,2015-08-02,1256,11004
B02682,2015-08-02,1136,10356
B02512,2015-08-02,176,1196
B02617,2015-09-02,1312,10887
B02682,2015-09-02,1241,10209
B02598,2015-09-02,976,8135
B02764,2015-09-02,3543,28266
B02512,2015-09-02,228,1565
B02765,2015-09-02,388,2894
B02764,2015-10-02,3700,29124
B02512,2015-10-02,233,1555
B02617,2015-10-02,1364,11401
B02765,2015-10-02,422,3432
B02682,2015-10-02,1281,10536
B02598,2015-10-02,1029,8718
B02617,2015-11-02,1450,12749
B02764,2015-11-02,3849,31889
B02512,2015-11-02,255,1831
B02598,2015-11-02,1115,10034
B02765,2015-11-02,450,3778
B02682,2015-11-02,1396,12189
B02617,2015-12-02,1532,14263
B02512,2015-12-02,269,2092
B02682,2015-12-02,1468,13786
B02765,2015-12-02,536,4609
B02598,2015-12-02,1181,11640
B02764,2015-12-02,4137,36844
B02617,2015-02-13,1590,16996
B02682,2015-02-13,1523,16088
B02764,2015-02-13,4395,43561
B02765,2015-02-13,599,5909
B02512,2015-02-13,281,2408
B02598,2015-02-13,1216,13062
B02764,2015-02-14,4129,45858
B02512,2015-02-14,236,2055
B02598,2015-02-14,1111,12678
B02765,2015-02-14,583,6307
B02617,2015-02-14,1486,16999
B02682,2015-02-14,1428,16448
B02682,2015-02-15,1261,14517
B02764,2015-02-15,3651,41209
B02617,2015-02-15,1293,14662
B02765,2015-02-15,521,5500
B02512,2015-02-15,210,1996
B02598,2015-02-15,1003,11517
B02598,2015-02-16,934,9052
B02512,2015-02-16,207,1576
B02617,2015-02-16,1214,11824
B02764,2015-02-16,3524,33448
B02682,2015-02-16,1164,11323
B02765,2015-02-16,508,4875
B02764,2015-02-17,3826,32473
B02512,2015-02-17,241,1797
B02682,2015-02-17,1314,11887
B02617,2015-02-17,1378,12524
B02598,2015-02-17,1066,9463
B02765,2015-02-17,578,4907
B02598,2015-02-18,1078,9538
B02682,2015-02-18,1314,11724
B02617,2015-02-18,1394,12016
B02765,2015-02-18,586,5059
B02764,2015-02-18,3842,32317
B02512,2015-02-18,228,1589
B02598,2015-02-19,1127,11739
B02512,2015-02-19,250,2120
B02682,2015-02-19,1428,14591
B02764,2015-02-19,4110,39110
B02765,2015-02-19,663,6447
B02617,2015-02-19,1452,14750
B02764,2015-02-20,4384,44755
B02617,2015-02-20,1574,16856
B02598,2015-02-20,1186,12758
B02682,2015-02-20,1497,16342
B02765,2015-02-20,736,7824
B02512,2015-02-20,272,2380
B02598,2015-02-21,1044,12132
B02682,2015-02-21,1374,16149
B02765,2015-02-21,685,7658
B02617,2015-02-21,1443,16098
B02512,2015-02-21,238,2149
B02764,2015-02-21,3981,44194
B02512,2015-02-22,199,1312
B02617,2015-02-22,1248,10696
B02682,2015-02-22,1220,10970
B02764,2015-02-22,3478,30157
B02598,2015-02-22,909,8271
B02765,2015-02-22,566,5034
B02598,2015-02-23,966,8943
B02617,2015-02-23,1332,11720
B02764,2015-02-23,3734,31173
B02682,2015-02-23,1262,11714
B02765,2015-02-23,665,5823
B02512,2015-02-23,238,1844
B02764,2015-02-24,3965,34686
B02512,2015-02-24,247,1869
B02598,2015-02-24,1061,9954
B02682,2015-02-24,1346,12497
B02617,2015-02-24,1456,13719
B02765,2015-02-24,698,6390
B02512,2015-02-25,246,1647
B02598,2015-02-25,1076,9405
B02765,2015-02-25,706,6178
B02682,2015-02-25,1395,12693
B02617,2015-02-25,1473,12811
B02764,2015-02-25,3934,31957
B02598,2015-02-26,1134,10661
B02617,2015-02-26,1539,14461
B02682,2015-02-26,1465,13814
B02512,2015-02-26,243,1797
B02765,2015-02-26,745,6744
B02764,2015-02-26,4101,36091
B02765,2015-02-27,786,7563
B02617,2015-02-27,1551,14677
B02598,2015-02-27,1114,10755
B02512,2015-02-27,272,2056
B02764,2015-02-27,4253,38780
B02682,2015-02-27,1510,14975
B02598,2015-02-28,994,10319
B02764,2015-02-28,3952,39812
B02617,2015-02-28,1372,14022
B02682,2015-02-28,1386,14472
B02512,2015-02-28,230,1803
B02765,2015-02-28,747,7753
